country,state,lat,lng
Mainland China,Anhui,31.8257,117.2264
Mainland China,Beijing,40.1824,116.4142
Mainland China,Chongqing,30.0572,107.874
Mainland China,Fujian,26.0789,117.9874
Mainland China,Gansu,36.0611,103.8343
Mainland China,Guangdong,23.3417,113.4244
Mainland China,Guangxi,23.8298,108.7881
Mainland China,Guizhou,26.8154,106.8748
Mainland China,Hainan,19.1959,109.7453
Mainland China,Hebei,38.0428,114.5149
Mainland China,Heilongjiang,47.861999999999995,127.7615
Mainland China,Henan,33.882020000000004,113.61399999999999
Mainland China,Hubei,30.9756,112.2707
Mainland China,Hunan,27.6104,111.7088
Mainland China,Inner Mongolia,44.0935,113.9448
Mainland China,Jiangsu,32.9711,119.455
Mainland China,Jiangxi,27.614,115.7221
Mainland China,Jilin,43.6661,126.1923
Mainland China,Liaoning,41.2956,122.6085
Mainland China,Ningxia,37.2692,106.1655
Mainland China,Qinghai,35.7452,95.9956
Mainland China,Shaanxi,35.1917,108.8701
Mainland China,Shandong,36.3427,118.1498
Mainland China,Shanghai,31.201999999999998,121.4491
Mainland China,Shanxi,37.5777,112.2922
Mainland China,Sichuan,30.6171,102.7103
Mainland China,Tianjin,39.3054,117.323
Mainland China,Tibet,31.6927,88.0924
Mainland China,Xinjiang,41.1129,85.2401
Mainland China,Yunnan,24.974,101.48700000000001
Mainland China,Zhejiang,29.1832,120.0934
Thailand,,15.0,101.0
Japan,,36.0,138.0
South Korea,,36.0,128.0
Taiwan,Taiwan,23.7,121.0
US,"King County, WA",47.6062,-122.3321
US,"Cook County, IL",41.7377,-87.6976
Macau,Macau,22.1667,113.55
Hong Kong,Hong Kong,22.3,114.2
Singapore,,1.2833,103.8333
Vietnam,,16.0,108.0
France,,47.0,2.0
Nepal,,28.1667,84.25
Malaysia,,2.5,112.5
Canada,"Toronto, ON",43.6532,-79.3832
Canada,British Columbia,49.2827,-123.1207
US,"Los Angeles, CA",34.0522,-118.2437
Australia,New South Wales,-33.8688,151.2093
Australia,Victoria,-37.8136,144.9631
Australia,Queensland,-28.0167,153.4
Cambodia,,11.55,104.9167
