date,country_code,country_name,total_cases,total_deaths
2020-01-31,ESP,Spain,1,0
2020-02-01,ESP,Spain,1,0
2020-02-02,ESP,Spain,1,0
2020-02-03,ESP,Spain,1,0
2020-02-04,ESP,Spain,1,0
2020-02-05,ESP,Spain,1,0
2020-02-06,ESP,Spain,1,0
2020-02-07,ESP,Spain,1,0
2020-02-08,ESP,Spain,1,0
2020-02-09,ESP,Spain,2,0
2020-02-10,ESP,Spain,2,0
2020-02-11,ESP,Spain,2,0
2020-02-12,ESP,Spain,2,0
2020-02-13,ESP,Spain,3,1
2020-02-14,ESP,Spain,3,1
2020-02-15,ESP,Spain,3,1
2020-02-16,ESP,Spain,3,1
2020-02-17,ESP,Spain,3,1
2020-02-18,ESP,Spain,3,1
2020-02-19,ESP,Spain,3,1
2020-02-20,ESP,Spain,3,1
2020-02-21,ESP,Spain,3,1
2020-02-22,ESP,Spain,3,1
2020-02-23,ESP,Spain,3,1
2020-02-24,ESP,Spain,4,1
2020-02-25,ESP,Spain,10,1
2020-02-26,ESP,Spain,14,1
2020-02-27,ESP,Spain,26,1
2020-02-28,ESP,Spain,34,1
2020-02-29,ESP,Spain,59,1
2020-03-01,ESP,Spain,85,1
2020-03-02,ESP,Spain,121,1
2020-03-03,ESP,Spain,166,2
2020-03-04,ESP,Spain,228,2
2020-03-05,ESP,Spain,282,3
2020-03-06,ESP,Spain,401,8
2020-03-07,ESP,Spain,525,10
2020-03-08,ESP,Spain,674,17
2020-03-09,ESP,Spain,1231,30
2020-03-10,ESP,Spain,1695,36
2020-03-11,ESP,Spain,2277,55
2020-03-12,ESP,Spain,3146,86
2020-03-13,ESP,Spain,5232,133
2020-03-14,ESP,Spain,6391,196
2020-03-15,ESP,Spain,7988,294
2020-03-16,ESP,Spain,9942,342
2020-03-17,ESP,Spain,11826,533
2020-03-18,ESP,Spain,14769,638
2020-03-19,ESP,Spain,18077,831
2020-03-20,ESP,Spain,21510,1092
