date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-03-06,SVK,Slovakia,1,0,0
2020-03-07,SVK,Slovakia,3,0,0
2020-03-08,SVK,Slovakia,5,0,0
2020-03-09,SVK,Slovakia,7,0,0
2020-03-10,SVK,Slovakia,7,0,0
2020-03-11,SVK,Slovakia,10,0,0
2020-03-12,SVK,Slovakia,21,0,0
2020-03-13,SVK,Slovakia,32,0,0
2020-03-14,SVK,Slovakia,44,0,0
2020-03-15,SVK,Slovakia,61,0,0
2020-03-16,SVK,Slovakia,72,0,0
2020-03-17,SVK,Slovakia,97,0,0
2020-03-18,SVK,Slovakia,105,0,0
2020-03-19,SVK,Slovakia,123,0,0
2020-03-20,SVK,Slovakia,137,0,7
2020-03-21,SVK,Slovakia,178,0,7
2020-03-22,SVK,Slovakia,185,0,7
2020-03-23,SVK,Slovakia,204,0,7
2020-03-24,SVK,Slovakia,216,0,7
